timestep,position_error,x_error,y_error,z_error,linear_velocity_error,x_vel_error,y_vel_error,z_vel_error,angular_velocity_error,rx_vel_error,ry_vel_error,rz_vel_error
1.15,0.0357,-0.0031,0.0339,0.0106,0.005,0.003,-0.0032,-0.0025,0.0043,-0.0038,-0.0009,0.0019
1.154167,0.0358,-0.0027,0.0341,0.0107,0.0053,0.003,-0.0035,-0.0027,0.003,-0.0026,-0.0005,0.0014
1.158333,0.0359,-0.0023,0.0342,0.0106,0.005,0.0027,-0.0033,-0.0025,0.0041,-0.0035,-0.0001,0.0021
1.1625,0.0359,-0.0018,0.0342,0.0107,0.0062,0.0032,-0.0043,-0.003,0.0032,-0.0028,-0.0002,0.0016
1.166667,0.036,-0.0013,0.0344,0.0108,0.0059,0.003,-0.0042,-0.0029,0.0031,-0.0027,-0.0004,0.0016
1.170833,0.0361,-0.0009,0.0344,0.0108,0.006,0.0032,-0.0041,-0.0029,0.0017,-0.0014,0.0002,0.0009
1.175,0.0362,-0.0005,0.0346,0.0108,0.0053,0.0027,-0.0038,-0.0025,0.0046,-0.0039,0.0002,0.0024
1.179167,0.0364,0.0001,0.0347,0.011,0.0074,0.0037,-0.0055,-0.0033,0.0011,-0.0008,0.0003,0.0006
1.183333,0.0366,0.0007,0.0349,0.0111,0.0062,0.003,-0.0047,-0.0026,0.0048,-0.0035,0.0023,0.0024
1.1875,0.0368,0.0012,0.0351,0.0111,0.0059,0.0029,-0.0045,-0.0024,0.0052,-0.0045,-0.0017,0.002
1.191667,0.0371,0.0019,0.0353,0.0112,0.0082,0.004,-0.0064,-0.0032,0.0028,0.0023,0.0011,-0.001
1.195833,0.0373,0.0024,0.0355,0.0113,0.0064,0.0031,-0.005,-0.0024,0.0041,-0.0037,-0.0001,0.0018
1.2,0.0375,0.0028,0.0356,0.0113,0.0058,0.0027,-0.0047,-0.0021,0.0051,-0.0024,-0.0045,0.0003
1.204167,0.0377,0.0032,0.0359,0.0113,0.0059,0.003,-0.0046,-0.0021,0.0028,0.0,-0.0027,-0.0005
1.208333,0.0382,0.0042,0.0362,0.0115,0.01,0.0043,-0.0085,-0.0032,0.0054,-0.0005,0.0053,0.0011
1.2125,0.0386,0.005,0.0365,0.0115,0.0092,0.0041,-0.0077,-0.0029,0.0021,0.0018,-0.0006,-0.0008
1.216667,0.0392,0.0061,0.037,0.0117,0.0108,0.005,-0.009,-0.0034,0.0041,0.003,0.0026,-0.0007
1.220833,0.0396,0.007,0.0372,0.0118,0.0092,0.003,-0.0084,-0.0025,0.0022,-0.0007,0.002,0.0006
1.225,0.04,0.0076,0.0375,0.0117,0.0085,0.0042,-0.0069,-0.0026,0.0021,0.0019,0.0007,-0.0005
1.229167,0.0404,0.0083,0.0377,0.0117,0.0089,0.0035,-0.0078,-0.0025,0.0006,-0.0005,0.0002,0.0002
1.233333,0.0408,0.009,0.038,0.0117,0.0092,0.0034,-0.0081,-0.0026,0.0013,-0.0008,0.001,0.0004
1.2375,0.0413,0.0099,0.0383,0.0117,0.0105,0.0039,-0.0092,-0.0029,0.0024,0.0019,0.0015,-0.0003
1.241667,0.0417,0.0107,0.0386,0.0116,0.0102,0.0034,-0.0092,-0.0027,0.0041,-0.0006,0.004,0.0009
1.245833,0.042,0.0114,0.0388,0.0115,0.01,0.0034,-0.009,-0.0027,0.0045,-0.0017,0.0039,0.0013
1.25,0.0426,0.0123,0.0391,0.0115,0.0117,0.0041,-0.0105,-0.0032,0.0032,0.0007,0.0031,0.0004
1.254167,0.043,0.0132,0.0393,0.0114,0.0118,0.0026,-0.0112,-0.0029,0.0076,-0.0067,0.0029,0.0022
1.258333,0.0429,0.013,0.0394,0.011,0.0027,0.0012,-0.0023,-0.0008,0.0177,-0.0124,-0.0127,0.0001
1.2625,0.0432,0.0132,0.0397,0.0106,0.0067,0.0036,-0.0053,-0.0019,0.0308,0.0144,-0.0259,-0.0084
1.266667,0.0443,0.0153,0.0401,0.0109,0.0262,0.0064,-0.0246,-0.0064,0.0398,0.0045,0.0389,0.0075
1.270833,0.045,0.0164,0.0405,0.0109,0.0156,0.0042,-0.0146,-0.0038,0.0128,-0.0025,0.0122,0.003
1.275,0.0456,0.0171,0.0409,0.0107,0.0128,0.0049,-0.0115,-0.0031,0.0065,0.0046,-0.0043,-0.0016
1.279167,0.0462,0.0179,0.0412,0.0105,0.0143,0.0037,-0.0134,-0.0032,0.0023,-0.0022,0.0008,0.0004
1.283333,0.0468,0.0187,0.0416,0.0104,0.0153,0.0043,-0.0143,-0.0033,0.0075,-0.001,0.0073,0.0016
1.2875,0.0474,0.0198,0.0418,0.0103,0.0177,0.0024,-0.0172,-0.0036,0.0101,-0.0041,0.009,0.0021
1.291667,0.0477,0.0203,0.0421,0.01,0.0119,0.003,-0.0112,-0.0023,0.0115,0.0009,-0.0113,-0.0022
1.295833,0.0486,0.0213,0.0425,0.0099,0.0187,0.0057,-0.0175,-0.0034,0.0114,0.0007,0.0113,0.0019
1.3,0.0492,0.0224,0.0428,0.0097,0.0192,0.0028,-0.0187,-0.0033,0.0049,-0.0044,0.0021,0.0006
1.304167,0.0499,0.023,0.0432,0.0094,0.0156,0.0044,-0.0148,-0.0025,0.0069,0.0054,-0.0043,-0.0009
1.308333,0.0505,0.0238,0.0436,0.0093,0.0189,0.0038,-0.0184,-0.0027,0.0032,-0.0028,0.0015,0.0003
1.3125,0.0513,0.0248,0.0439,0.0091,0.02,0.0036,-0.0195,-0.0026,0.0097,-0.0018,0.0094,0.0013
1.316667,0.052,0.026,0.0442,0.0089,0.0233,0.0018,-0.0231,-0.0028,0.0147,-0.0046,0.0139,0.0017
1.320833,0.0526,0.0265,0.0445,0.0087,0.0169,0.003,-0.0165,-0.0017,0.0188,-0.002,-0.0186,-0.0019
1.325,0.0535,0.0276,0.045,0.0086,0.0229,0.0056,-0.0221,-0.0021,0.008,0.0001,0.008,0.0008
1.329167,0.0543,0.0287,0.0453,0.0084,0.0268,0.0021,-0.0266,-0.0022,0.0054,-0.001,0.0053,0.0004
1.333333,0.0551,0.0294,0.0458,0.0082,0.0189,0.0053,-0.0181,-0.0012,0.009,0.0059,-0.0068,-0.0004
1.3375,0.0559,0.0307,0.0461,0.008,0.0269,0.0018,-0.0268,-0.0016,0.0115,-0.0043,0.0106,0.0006
1.341667,0.0567,0.0313,0.0466,0.0078,0.0219,0.0055,-0.0212,-0.001,0.013,0.0009,-0.0129,-0.0006
1.345833,0.0576,0.0327,0.0468,0.0076,0.0313,0.0008,-0.0312,-0.0013,0.0102,-0.0019,0.01,0.0004
1.35,0.0582,0.0332,0.0472,0.0074,0.02,0.0028,-0.0197,-0.0007,0.016,0.0004,-0.016,-0.0005
1.354167,0.0593,0.0343,0.0478,0.0072,0.0282,0.0068,-0.0273,-0.0008,0.006,0.0059,0.0012,-0.0
1.358333,0.0602,0.0353,0.0482,0.007,0.0292,0.0036,-0.029,-0.0005,0.0061,0.006,0.0013,-0.0001
1.3625,0.061,0.0363,0.0485,0.0072,0.031,0.0008,-0.031,-0.0001,0.0006,0.0005,0.0001,-0.0
1.366667,0.061,0.0363,0.0488,0.0054,0.0264,0.0033,-0.0262,0.0001,0.019,0.0081,-0.0172,-0.0
1.370833,0.0616,0.0369,0.0491,0.005,0.0341,0.0066,-0.0334,-0.0002,0.0115,0.0087,0.0075,-0.0002
1.375,0.0618,0.0374,0.049,0.0045,0.0326,0.0032,-0.0324,-0.0003,0.0069,0.0067,0.0016,-0.0002
1.379167,0.0622,0.0383,0.0489,0.0043,0.0344,0.0003,-0.0344,-0.0006,0.0155,0.0091,-0.0125,-0.0005
1.383333,0.0625,0.0387,0.0489,0.0043,0.0296,0.0029,-0.0294,-0.0008,0.0172,0.0001,-0.0172,-0.0004
1.3875,0.0632,0.0396,0.049,0.0047,0.04,0.0065,-0.0395,-0.0016,0.0175,0.0135,0.0111,0.0
1.391667,0.0638,0.0405,0.049,0.0047,0.0369,0.0023,-0.0368,-0.0017,0.0084,0.0069,-0.0047,-0.0004
1.395833,0.0643,0.0415,0.0489,0.0047,0.0409,-0.0002,-0.0408,-0.002,0.0222,0.0108,-0.0194,-0.0012
1.4,0.0648,0.0421,0.049,0.0045,0.0328,0.0025,-0.0327,-0.0018,0.0198,-0.0017,-0.0197,-0.001
1.404167,0.0654,0.043,0.0491,0.0046,0.0448,0.0057,-0.0443,-0.0029,0.0176,0.0066,0.0162,0.0009
1.408333,0.0661,0.0442,0.0489,0.0043,0.0475,-0.0006,-0.0473,-0.0034,0.0243,0.0135,-0.0202,-0.0018
1.4125,0.0663,0.0446,0.0489,0.0038,0.0336,0.0007,-0.0335,-0.0029,0.0183,0.0015,-0.0182,-0.0016
1.416667,0.0667,0.0454,0.0488,0.0034,0.0381,0.0015,-0.0379,-0.0037,0.0112,-0.0034,-0.0106,-0.0009
1.420833,0.0675,0.0465,0.0489,0.0023,0.0503,0.0054,-0.0498,-0.0055,0.0149,0.0089,0.0119,0.001
1.425,0.0677,0.0474,0.0483,0.0013,0.0449,-0.0104,-0.0434,-0.0047,0.189,-0.0478,-0.1818,-0.0197
1.429167,0.0679,0.0481,0.0479,-0.0005,0.0444,-0.0009,-0.0441,-0.0054,0.0235,-0.0211,0.0101,0.0019
1.433333,0.0682,0.0488,0.0475,-0.001,0.0486,0.0002,-0.0482,-0.0062,0.03,-0.0249,-0.0167,-0.0015
1.4375,0.0685,0.0495,0.0473,-0.0016,0.0496,0.0036,-0.0491,-0.0066,0.0362,-0.0046,-0.0356,-0.0046
1.441667,0.0689,0.0505,0.0468,-0.0021,0.0513,-0.0037,-0.0507,-0.0067,0.0507,-0.0491,0.0121,0.0026
1.445833,0.069,0.0512,0.0463,-0.0026,0.0521,-0.0031,-0.0515,-0.0069,0.0364,-0.0324,-0.0165,-0.0018
1.45,0.0695,0.0521,0.0459,-0.0032,0.0527,-0.0013,-0.0522,-0.007,0.0306,-0.0266,-0.015,-0.0018
