Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z,gait_type
23,0.095833,0.015244,-0.000217,0.01536,-0.999766,1.962873,-1.319835,0.00715,0.031664,-0.012535,0.15694,-0.987021,1.971453,-1.631253,0.003842,0.005497,0.004948,-0.035955,-0.999326,1.970415,-1.455868,0.932089,walk
24,0.1,0.015059,-0.000233,0.015363,-0.999769,1.962884,-1.31985,0.007178,0.031338,-0.012723,0.156682,-0.98707,1.971497,-1.631271,0.003777,0.005519,0.004911,-0.03587,-0.999329,1.970248,-1.455662,0.932147,walk
25,0.104167,0.015143,-0.000303,0.01537,-0.999767,1.962887,-1.31985,0.007191,0.031026,-0.012845,0.156452,-0.987115,1.971536,-1.631275,0.00375,0.00542,0.004877,-0.035931,-0.999328,1.970131,-1.455474,0.932173,walk
26,0.108333,0.015196,-0.00026,0.015446,-0.999765,1.96289,-1.319848,0.007196,0.030771,-0.013118,0.156408,-0.987126,1.97156,-1.631305,0.003711,0.005376,0.004781,-0.035909,-0.999329,1.970016,-1.455295,0.932179,walk
27,0.1125,0.01539,-0.000394,0.015402,-0.999763,1.962882,-1.319828,0.007185,0.030539,-0.013572,0.156276,-0.987148,1.971569,-1.631301,0.003672,0.005398,0.004804,-0.035976,-0.999327,1.969881,-1.455032,0.932226,walk
28,0.116667,0.015274,-0.000387,0.015449,-0.999764,1.96289,-1.319853,0.007207,0.030486,-0.013759,0.156407,-0.987126,1.971573,-1.63135,0.003662,0.005329,0.004636,-0.03594,-0.999329,1.969754,-1.454839,0.932243,walk
29,0.120833,0.01518,-0.000515,0.015414,-0.999766,1.962895,-1.319852,0.007212,0.030602,-0.014036,0.156433,-0.987115,1.971586,-1.631376,0.003671,0.005326,0.004488,-0.03589,-0.999331,1.969645,-1.454631,0.932257,walk
30,0.125,0.015186,-0.00057,0.015426,-0.999766,1.962916,-1.319857,0.007213,0.030529,-0.014283,0.156544,-0.987096,1.971587,-1.631395,0.00368,0.005359,0.004328,-0.035891,-0.999332,1.969526,-1.454401,0.932273,walk
31,0.129167,0.01523,-0.000605,0.015494,-0.999764,1.962931,-1.319863,0.007211,0.030687,-0.014539,0.156615,-0.987076,1.971588,-1.631435,0.003697,0.005266,0.004199,-0.035928,-0.999332,1.969373,-1.454182,0.932315,walk
32,0.133333,0.015091,-0.000664,0.015517,-0.999766,1.962933,-1.319872,0.007211,0.030679,-0.014703,0.156648,-0.987069,1.9716,-1.63145,0.003708,0.005251,0.004119,-0.036003,-0.999329,1.969232,-1.453915,0.932336,walk
33,0.1375,0.015165,-0.000696,0.015519,-0.999764,1.962942,-1.319861,0.007215,0.03066,-0.014936,0.156854,-0.987033,1.971602,-1.631488,0.003697,0.005263,0.004123,-0.035889,-0.999333,1.969017,-1.453658,0.932406,walk
34,0.141667,0.01553,-0.000684,0.015572,-0.999758,1.962954,-1.319854,0.007209,0.030693,-0.015283,0.15673,-0.987046,1.971609,-1.6315,0.003682,0.005293,0.004143,-0.035978,-0.99933,1.968831,-1.453346,0.932466,walk
35,0.145833,0.01526,-0.000835,0.015548,-0.999762,1.962963,-1.319877,0.007217,0.030341,-0.01551,0.156657,-0.987065,1.9716,-1.631506,0.003698,0.005281,0.004174,-0.035971,-0.99933,1.9686,-1.453047,0.932542,walk
36,0.15,0.015176,-0.000877,0.015609,-0.999763,1.962985,-1.319885,0.007216,0.030742,-0.018416,0.154782,-0.987298,1.971468,-1.631663,0.003892,0.005333,0.004124,-0.03595,-0.999331,1.968386,-1.452757,0.93259,walk
37,0.154167,0.01517,-0.000897,0.015608,-0.999763,1.962993,-1.319896,0.007224,0.030595,-0.018307,0.155134,-0.98725,1.971472,-1.631666,0.00392,0.005331,0.004098,-0.035961,-0.999331,1.968191,-1.452469,0.93263,walk
