Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z,gait_type
0,0.0,-0.016647,-0.018073,0.901072,-0.432973,-1.048715,-1.812918,-0.015865,0.007017,-0.04686,0.921126,-0.386369,-1.319063,-1.626605,-0.010034,0.122055,0.010345,0.385589,-0.914504,-1.245471,-1.635574,0.006904,walk
1,0.004167,-0.016808,-0.017913,0.901066,-0.432985,-1.048745,-1.81292,-0.01586,0.006963,-0.046699,0.921127,-0.386389,-1.319085,-1.626594,-0.010037,0.122055,0.010345,0.385589,-0.914504,-1.245471,-1.635574,0.006904,walk
2,0.008333,-0.016788,-0.018106,0.901059,-0.432993,-1.048726,-1.812912,-0.015836,0.006788,-0.046509,0.921146,-0.386368,-1.319124,-1.626578,-0.010026,0.122055,0.010345,0.385589,-0.914504,-1.245471,-1.635574,0.006904,walk
3,0.0125,-0.01675,-0.018145,0.901023,-0.433068,-1.048747,-1.812911,-0.015853,0.006728,-0.046433,0.921131,-0.386414,-1.319134,-1.626568,-0.010034,0.122055,0.010345,0.385589,-0.914504,-1.245471,-1.635574,0.006904,walk
4,0.016667,-0.016731,-0.01808,0.901023,-0.433071,-1.048751,-1.812917,-0.015846,0.006696,-0.046439,0.92116,-0.386345,-1.319154,-1.626535,-0.010032,0.122055,0.010345,0.385589,-0.914504,-1.245471,-1.635574,0.006904,walk
5,0.020833,-0.016805,-0.01802,0.901029,-0.433059,-1.048765,-1.812924,-0.015852,0.006573,-0.046174,0.921129,-0.386454,-1.319187,-1.626538,-0.010037,0.122055,0.010345,0.385589,-0.914504,-1.245471,-1.635574,0.006904,walk
6,0.025,-0.016668,-0.018228,0.901018,-0.433079,-1.048759,-1.81292,-0.015843,0.006576,-0.046248,0.92115,-0.386394,-1.31921,-1.626515,-0.010021,0.122055,0.010345,0.385589,-0.914504,-1.245471,-1.635574,0.006904,walk
7,0.029167,-0.016776,-0.018267,0.901036,-0.433034,-1.048755,-1.81292,-0.015841,0.006443,-0.045955,0.921134,-0.38647,-1.319226,-1.626517,-0.010024,0.122055,0.010345,0.385589,-0.914504,-1.245471,-1.635574,0.006904,walk
8,0.033333,-0.016807,-0.018312,0.901012,-0.43308,-1.048739,-1.812923,-0.015834,0.006432,-0.045865,0.921153,-0.386435,-1.319263,-1.626498,-0.010026,0.122055,0.010345,0.385589,-0.914504,-1.245471,-1.635574,0.006904,walk
9,0.0375,-0.016685,-0.018357,0.901029,-0.433049,-1.048744,-1.812931,-0.015827,0.006365,-0.045756,0.921147,-0.386463,-1.319286,-1.626491,-0.010025,0.122055,0.010345,0.385589,-0.914504,-1.245471,-1.635574,0.006904,walk
10,0.041667,-0.016694,-0.018213,0.901015,-0.433084,-1.048758,-1.81293,-0.015825,0.006361,-0.045785,0.921172,-0.3864,-1.319303,-1.626473,-0.010022,0.122055,0.010345,0.385589,-0.914504,-1.245471,-1.635574,0.006904,walk
11,0.045833,-0.016625,-0.01827,0.901024,-0.433066,-1.048759,-1.812939,-0.015831,0.006232,-0.045807,0.921182,-0.386375,-1.319336,-1.626459,-0.010026,0.122055,0.010345,0.385589,-0.914504,-1.245471,-1.635574,0.006904,walk
12,0.05,-0.016648,-0.018371,0.901052,-0.433003,-1.048742,-1.812932,-0.015811,0.006039,-0.045671,0.921178,-0.386405,-1.319361,-1.626457,-0.010035,0.122055,0.010345,0.385589,-0.914504,-1.245471,-1.635574,0.006904,walk
13,0.054167,-0.016699,-0.018392,0.901045,-0.433013,-1.048748,-1.812933,-0.015811,0.006043,-0.045665,0.921173,-0.386418,-1.319384,-1.626457,-0.010024,0.122055,0.010345,0.385589,-0.914504,-1.245471,-1.635574,0.006904,walk
14,0.058333,-0.016478,-0.018632,0.901051,-0.433,-1.048737,-1.812924,-0.015787,0.005896,-0.045651,0.921202,-0.386352,-1.319396,-1.626436,-0.010017,0.122055,0.010345,0.385589,-0.914504,-1.245471,-1.635574,0.006904,walk
15,0.0625,-0.01644,-0.018703,0.901049,-0.433002,-1.04874,-1.812937,-0.015785,0.00589,-0.04559,0.921162,-0.386454,-1.319425,-1.626434,-0.01002,0.122055,0.010345,0.385589,-0.914504,-1.245471,-1.635574,0.006904,walk
16,0.066667,-0.016416,-0.018639,0.901046,-0.433012,-1.048736,-1.812932,-0.015784,0.005766,-0.045472,0.921186,-0.386414,-1.319425,-1.626428,-0.010016,0.122055,0.010345,0.385589,-0.914504,-1.245471,-1.635574,0.006904,walk
