frame_id,timestamp,gait_type,root_position_x,root_position_y,root_position_z,root_orientation_x,root_orientation_y,root_orientation_z,root_linear_velocity_x,root_linear_velocity_y,root_linear_velocity_z,root_angular_velocity_x,root_angular_velocity_y,root_angular_velocity_z,left_linear_velocity_x,left_linear_velocity_y,left_linear_velocity_z,right_linear_velocity_x,right_linear_velocity_y,right_linear_velocity_z,left_pos_rel_x,left_pos_rel_y,left_pos_rel_z,right_pos_rel_x,right_pos_rel_y,right_pos_rel_z,step_length,step_width,step_height,left_contact_prob,right_contact_prob,support_type,left_swing_phase,right_swing_phase,max_foot_height
1,0.004167,jog,1.894832,-0.423828,0.94065,-0.0412,-0.019329,0.996992,0.007439404847639614,0.050395968322544636,0.0007199424046016907,-0.21755510788287255,-0.06824291472108629,0.47737574470053035,0.0,-0.010559155267589155,0.0011999040076793369,-0.00023998080151613473,0.0021598272138183936,-0.0026397888168947906,-0.04599500000000001,-0.08885900000000002,-0.9252819999999999,0.030645000000000033,0.16814599999999996,-0.918374,0.07664000000000004,0.257005,0.006907999999999914,0.9822881450879879,0.9252213331538446,0.9252213331538446,0.017711854912012104,0.07477866684615542,-0.918374
2,0.008333,jog,1.894886,-0.423637,0.940632,-0.041283,-0.019131,0.997049,0.01296207393182873,0.045847335573691,-0.004320691310600693,-0.11595557441986777,-0.041153553694777426,0.43641535694095557,0.0007201152184290073,-0.007441190590495258,-0.002880460873739764,0.00048007681225047203,0.0,-0.002640422467594957,-0.04604600000000003,-0.08908100000000002,-0.925276,0.03059299999999987,0.16795499999999997,-0.918367,0.0766389999999999,0.257036,0.006908999999999943,0.986647208138679,0.9264371483887541,0.9264371483887541,0.01335279186132099,0.07356285161124587,-0.918367
3,0.0125,jog,1.894902,-0.423455,0.940612,-0.04139,-0.019151,0.997101,0.0038396928245778734,0.043676505879520024,-0.004799616030722342,-0.012390027099654428,-0.059251825494997884,0.44313300809441164,0.0009599232061178252,-0.010079193664503596,-0.0016798656107511545,0.0007199424046016905,0.0004799616030722342,-0.002159827213822556,-0.046058000000000154,-0.08930499999999997,-0.9252630000000001,0.03057999999999983,0.167775,-0.918356,0.07663799999999998,0.25708,0.0069070000000001075,0.9828946446041664,0.9270521663407632,0.9270521663407632,0.017105355395833577,0.07294783365923685,-0.918356
4,0.016667,jog,1.894959,-0.423261,0.940603,-0.041528,-0.019028,0.997154,0.013678905687538693,0.04655627549796675,-0.0021598272138317145,-0.08178066582826732,-0.06990610405990985,0.4409935597340146,0.0,-0.006959443244554057,-0.0009599232061436358,-0.0009599232061178252,0.002399808015361171,-0.00143988480921587,-0.04611500000000013,-0.08952800000000005,-0.9252579999999999,0.030518999999999963,0.167591,-0.918353,0.07663400000000009,0.25711900000000004,0.006904999999999939,0.9882911117763918,0.9260188632885719,0.9260188632885719,0.01170888822360816,0.07398113671142814,-0.918353
5,0.020833,jog,1.894984,-0.423081,0.940576,-0.04179,-0.019112,0.997193,0.006000960153610595,0.04320691310610022,-0.006481036965914367,0.015305810405706617,-0.1348552467529921,0.4087442237489034,-0.0012001920307327788,-0.0055208833413334735,-0.0002400384061448069,-0.0014402304368580148,0.00048007681229044656,-0.0014402304368696741,-0.0461450000000001,-0.08973100000000006,-0.9252319999999999,0.03048800000000007,0.16741299999999998,-0.9183319999999999,0.07663300000000017,0.25714400000000004,0.006900000000000017,0.9905751168271797,0.9275123228168318,0.9275123228168318,0.009424883172820309,0.07248767718316818,-0.9183319999999999
6,0.025,jog,1.895032,-0.422895,0.940558,-0.041911,-0.019069,0.997244,0.01151907847373362,0.044636429085664495,-0.004319654427636786,-0.043396058693037066,-0.06431934336797894,0.4508078380746945,0.0028797696184600483,-0.005519558435324033,0.0004799616030718179,-0.0011999040076872464,0.001679865610746159,-0.004079673626109828,-0.04618100000000003,-0.08994000000000002,-0.925212,0.03043499999999999,0.167234,-0.918331,0.07661600000000002,0.257174,0.006881000000000026,0.9895931430835261,0.9235695860798103,0.9235695860798103,0.010406856916473917,0.07643041392018968,-0.918331
7,0.029167,jog,1.895051,-0.422722,0.940539,-0.042078,-0.019141,0.997285,0.004559635229179568,0.04151667866571499,-0.004559635229179568,0.012023440064693277,-0.08903528543616115,0.41508744328201475,0.001679865610719517,-0.0023998080153478513,-0.0011999040076793375,-0.00215982721385836,0.0002399808015427781,-0.003599712023038429,-0.04619300000000015,-0.09012300000000001,-0.925198,0.03040699999999985,0.167062,-0.918327,0.0766,0.257185,0.0068709999999999605,0.9947240596919573,0.9242819944532382,0.9242819944532382,0.0052759403080426814,0.07571800554676178,-0.918327
8,0.033333,jog,1.89509,-0.422559,0.940532,-0.042277,-0.019223,0.997324,0.009361497839630388,0.03912626020162473,-0.0016802688430098993,0.016315567703560904,-0.10452755766975677,0.4064220789228008,-0.0014402304368580138,-0.002400384061438906,-0.002160345655304926,-0.0033605376860197985,0.0004800768122904462,-0.003360537686029792,-0.046238,-0.09029599999999993,-0.9252,0.030353999999999992,0.16690100000000002,-0.918334,0.076592,0.25719699999999995,0.006866000000000039,0.9941066891252179,0.923378826715433,0.923378826715433,0.005893310874782065,0.07662117328456697,-0.918334
9,0.0375,jog,1.895116,-0.422389,0.940528,-0.042395,-0.019172,0.997366,0.006239500839952372,0.040796736261099975,-0.0009599232061444692,-0.04483989595909504,-0.061907316913527015,0.3963168923897425,-0.0009599232061178259,-0.0002399808015427781,0.0,-0.0011999040076872472,0.0004799616030722346,-0.002879769618430077,-0.046267999999999976,-0.09046699999999996,-0.925196,0.030322999999999878,0.16673300000000002,-0.918342,0.07659099999999985,0.2572,0.006854000000000027,0.9983508896786174,0.9261992422854264,0.9261992422854264,0.0016491103213825964,0.07380075771457362,-0.918342
10,0.041667,jog,1.895154,-0.422217,0.940521,-0.042591,-0.019091,0.997406,0.00911927045835912,0.041276697864172145,-0.0016798656107461574,-0.061387394317521146,-0.09854052896362601,0.39780753330600965,-0.0014398848092033799,0.0,0.0,-0.003839692824524584,-0.0004799616030722338,-0.002399808015358671,-0.04631199999999991,-0.09063899999999997,-0.925189,0.0302690000000001,0.166559,-0.9183450000000001,0.07658100000000001,0.257198,0.006843999999999961,0.9976001919846611,0.9239711407244074,0.9239711407244074,0.0023998080153389,0.07602885927559255,-0.9183450000000001
