frame_id,timestamp,gait_type,root_position_x,root_position_y,root_position_z,root_orientation_x,root_orientation_y,root_orientation_z,root_linear_velocity_x,root_linear_velocity_y,root_linear_velocity_z,root_angular_velocity_x,root_angular_velocity_y,root_angular_velocity_z,left_linear_velocity_x,left_linear_velocity_y,left_linear_velocity_z,right_linear_velocity_x,right_linear_velocity_y,right_linear_velocity_z,left_pos_rel_x,left_pos_rel_y,left_pos_rel_z,right_pos_rel_x,right_pos_rel_y,right_pos_rel_z,step_length,step_width,step_height,left_contact_prob,right_contact_prob,support_type,left_swing_phase,right_swing_phase,max_foot_height
1,0.004167,jog,1.694323,-1.492797,0.925049,0.041515,-0.004914,-0.899585,0.037676985841123764,0.01631869450448261,0.002879769618433406,-0.06564184452144735,-0.20426838516106502,0.06943739770334457,0.00023998080151613473,0.0,0.0009599232061435319,0.011759059275249758,0.019438444924405506,-0.022078233741300714,-0.14855700000000005,-0.05557200000000018,-0.923345,0.06888300000000003,0.08474099999999996,-0.920023,0.21744000000000008,0.14031300000000013,0.003321999999999936,0.9983508896785867,0.913981193688433,0.913981193688433,0.0016491103214133496,0.086018806311567,-0.920023
2,0.008333,jog,1.694452,-1.492625,0.92511,0.041862,-0.004857,-0.899721,0.03096495439271381,0.041286605856898445,0.01464234277483863,-0.053742617356073386,-0.15830399912343548,0.16594620190860535,0.0026404224675907932,0.0021603456553403212,-0.0028804608737398162,0.011761881901095951,-0.0014402304368580146,0.003840614498319616,-0.1486750000000001,-0.05573499999999987,-0.923418,0.06880299999999995,0.08456300000000017,-0.920068,0.21747800000000006,0.14029800000000003,0.003349999999999964,0.9925583792455593,0.945739029052137,0.945739029052137,0.007441620754440659,0.054260970947862974,-0.920068
3,0.0125,jog,1.694615,-1.492376,0.925132,0.042168,-0.005063,-0.89994,0.03911687065032714,0.05975521958247317,0.005279577633781255,-0.1619948273119146,-0.08365703052177126,0.2516758229300991,0.0009599232061711117,0.0009599232061178252,-0.0011999040076793887,0.008879289656842993,-0.0019198464122889367,0.0011999040076795448,-0.1488339999999999,-0.05598000000000014,-0.923445,0.0686770000000001,0.08430599999999999,-0.9200849999999999,0.217511,0.14028600000000013,0.0033600000000000296,0.9969803078012659,0.95112771530912,0.95112771530912,0.003019692198734103,0.04887228469088001,-0.9200849999999999
4,0.016667,jog,1.694758,-1.492236,0.92515,0.042528,-0.005175,-0.900021,0.03431725461963144,0.03359731221502975,0.004319654427663429,-0.12728774164565973,-0.13003520250411033,0.10359332028545136,0.005519558435297389,0.003359731221492318,-0.0023998080153587254,0.0112790976721642,-0.026157907367443424,0.03719702423806089,-0.14895400000000003,-0.05610600000000021,-0.923473,0.068581,0.08405699999999983,-0.919948,0.21753500000000003,0.14016300000000004,0.0035250000000000004,0.9885117937634681,0.886663993743564,0.886663993743564,0.011488206236531906,0.11333600625643603,-0.919948
5,0.020833,jog,1.694886,-1.492084,0.925194,0.042705,-0.005121,-0.900083,0.030724915986535282,0.03648583773402064,0.010561689870363175,-0.016371133238029866,-0.08609121409819245,0.07796793958679919,0.0002400384061785353,0.005280844935234887,-0.0028804608737398167,0.0038406144983235725,-0.005520883341306824,0.009601536245799354,-0.1490809999999998,-0.05623599999999995,-0.9235289999999999,0.06846900000000011,0.08388200000000001,-0.919952,0.2175499999999999,0.14011799999999996,0.0035769999999999413,0.9899664456680509,0.9446922892509801,0.9446922892509801,0.01003355433194908,0.055307710749019856,-0.919952
6,0.025,jog,1.695023,-1.491913,0.925225,0.042744,-0.005227,-0.900183,0.03287736981042806,0.04103671706261608,0.0074394048476129696,-0.058028764518578885,0.007784297462732462,0.11075103357643823,0.0031197504199228965,0.007199424046070191,0.0023998080153587774,0.0016798656107728021,-0.005519558435350676,0.0124790016798656,-0.14920500000000003,-0.0563769999999999,-0.92355,0.06833900000000015,0.08368799999999998,-0.9199309999999999,0.21754400000000018,0.14006499999999988,0.003619000000000039,0.9863248372152362,0.9408963361532423,0.9408963361532423,0.013675162784763772,0.05910366384675769,-0.9199309999999999
7,0.029167,jog,1.695162,-1.491761,0.925219,0.042832,-0.005332,-0.900249,0.033357331413513644,0.03647708183348983,-0.0014398848092033823,-0.06649966299366335,-0.014459935794791538,0.07487471692690827,0.0026397888168906295,0.003839692824577877,0.0002399808015358571,0.0011999040076339609,-0.003839692824577877,0.011519078473722182,-0.14933300000000016,-0.056513000000000035,-0.923543,0.06820499999999985,0.08351999999999982,-0.9198770000000001,0.217538,0.14003299999999985,0.003665999999999947,0.992223733263248,0.9430044687322888,0.9430044687322888,0.007776266736752024,0.056995531267711175,-0.9198770000000001
8,0.033333,jog,1.695286,-1.491543,0.925213,0.042894,-0.005364,-0.90044,0.02976476236198101,0.052328372539565356,-0.0014402304368846632,-0.034564020933596375,-0.01517603539591979,0.21426213880522976,0.0033605376860730975,0.005040806529003048,-0.001440230436869881,-0.0026404224675907915,-0.005280844935181583,0.009841574651944152,-0.149443,-0.05671000000000004,-0.923543,0.06806999999999985,0.08328000000000002,-0.9198299999999999,0.21751299999999985,0.13999000000000006,0.0037130000000000773,0.9896214420138811,0.9437420865932518,0.9437420865932518,0.010378557986118864,0.05625791340674824,-0.9198299999999999
9,0.0375,jog,1.69544,-1.491473,0.925194,0.042882,-0.005228,-0.900406,0.0369570434365221,0.016798656107514888,-0.004559635229179568,0.0627048774759346,-0.02395700439128814,-0.03627524569642716,0.004559635229179568,0.007679385649155754,-0.0009599232061435325,-0.0004799616030322698,-0.0009599232061178259,0.006719462443004623,-0.149578,-0.05674800000000002,-0.923528,0.06791400000000003,0.08320600000000011,-0.9197829999999999,0.21749200000000002,0.13995400000000013,0.0037450000000001094,0.985029223844313,0.9512089497810219,0.9512089497810219,0.014970776155686982,0.048791050218978116,-0.9197829999999999
10,0.041667,jog,1.695545,-1.491331,0.925185,0.04284,-0.005201,-0.900435,0.02519798416127229,0.034077273818115275,-0.0021598272138050696,0.019335669124595563,0.01327567640970133,0.030244623038072446,0.00047996160303226897,0.0038396928245778704,0.0014398848092152963,-0.0011999040076872453,-0.002159827213858356,0.003359731221502306,-0.14968100000000018,-0.05687400000000009,-0.923513,0.06780399999999998,0.08305499999999988,-0.91976,0.21748500000000015,0.13992899999999997,0.0037530000000000063,0.9931186902911443,0.9555192971773983,0.9555192971773983,0.0068813097088556985,0.04448070282260175,-0.91976
