frame_id,timestamp,gait_type,root_position_x,root_position_y,root_position_z,root_orientation_x,root_orientation_y,root_orientation_z,root_linear_velocity_x,root_linear_velocity_y,root_linear_velocity_z,root_angular_velocity_x,root_angular_velocity_y,root_angular_velocity_z,left_linear_velocity_x,left_linear_velocity_y,left_linear_velocity_z,right_linear_velocity_x,right_linear_velocity_y,right_linear_velocity_z,left_pos_rel_x,left_pos_rel_y,left_pos_rel_z,right_pos_rel_x,right_pos_rel_y,right_pos_rel_z,step_length,step_width,step_height,left_contact_prob,right_contact_prob,support_type,left_swing_phase,right_swing_phase,max_foot_height
1,0.004167,walk,1.458163,1.668329,0.977499,0.01727,0.034871,-0.653392,-0.00911927045835913,0.014398848092140386,0.01487880969522594,0.10956021160605087,-0.29786030967272165,0.0836236420990879,-0.0031197504199761837,-0.0035997120230084534,-0.005999520038396268,-0.006479481641468502,-0.0031197504199761837,-0.004799616030719013,0.14588999999999985,0.029645000000000143,-0.920117,-0.12288800000000011,-0.0049719999999999764,-0.917826,0.26877799999999996,0.03461700000000012,0.002290999999999932,0.9872323096556351,0.962680045968594,0.962680045968594,0.012767690344364868,0.03731995403140598,-0.917826
2,0.008333,walk,1.457391,1.66707,0.983713,0.039182,0.058977,-0.649005,-0.1853096495439258,-0.3022083533365096,1.4915986557849115,15.578551795475486,1.8153485154473465,1.884538324200656,0.009121459433505157,0.007441190590468608,-0.0009601536245808929,0.01800288046088508,0.011761881901095951,0.004800768122901133,0.14669999999999983,0.030934999999999935,-0.9263349999999999,-0.12204100000000007,-0.0036640000000001116,-0.92402,0.2687409999999999,0.034599000000000046,0.002314999999999956,0.9803153871017407,0.9401268259165766,0.9401268259165766,0.01968461289825929,0.05987317408342341,-0.92402
3,0.0125,walk,1.457374,1.666962,0.983893,0.039712,0.059373,-0.648943,-0.004079673626147294,-0.025917926565874005,0.04319654427647444,0.31788997957337917,-0.022147428097378415,0.013427940771837371,-0.0021598272138050713,-0.0009599232061178252,0.0,-0.03359731221502975,-0.02111831053512502,-0.025437964962803435,0.14670800000000006,0.03103900000000004,-0.926515,-0.12216399999999994,-0.0036439999999999806,-0.9243060000000001,0.268872,0.03468300000000002,0.0022089999999999055,0.9960607720175647,0.899349116155031,0.899349116155031,0.003939227982435289,0.10065088384496901,-0.9243060000000001
4,0.016667,walk,1.457285,1.666874,0.983969,0.041001,0.059208,-0.649023,-0.02135829133669444,-0.021118310535178306,0.018238540916718258,0.417319995580919,-0.45641059678739054,-0.10758398912255035,-0.00503959683226512,-0.002159827213858358,0.0019198464122872716,-0.09767218622511308,-0.04343652507799057,0.04607631389488786,0.14677600000000002,0.03111799999999998,-0.9265829999999999,-0.12248199999999998,-0.0037369999999998793,-0.92419,0.269258,0.03485499999999986,0.0023929999999999785,0.9903177998264467,0.7820653152413846,0.7820653152413846,0.009682200173553257,0.21793468475861544,-0.92419
5,0.020833,walk,1.457184,1.666728,0.984189,0.042408,0.059823,-0.64907,-0.024243879020620914,-0.03504560729716263,0.052808449351895825,0.7051412321921758,-0.20911592749249686,-0.09701030734580338,0.0038406144983235725,0.0038406144983235725,-0.0031204992798845714,-0.018963034085439326,-0.012722035525703496,0.05616898703792562,0.14689299999999994,0.031279999999999974,-0.926816,-0.12246000000000001,-0.0036439999999999806,-0.924176,0.26935299999999995,0.034923999999999955,0.0026399999999999757,0.9895599389096579,0.8725444328529341,0.8725444328529341,0.010440061090342123,0.12745556714706585,-0.924176
6,0.025,walk,1.45715,1.666557,0.984532,0.043293,0.061205,-0.649224,-0.008159347252241303,-0.04103671706261608,0.08231341492680158,0.7536813844116086,0.2380625787362703,-0.14421438130366782,-0.00047996160308555583,-0.0007199424046016905,-0.0031197504199661917,-0.008159347252241303,-0.002879769618406762,0.014638828893689821,0.14692499999999997,0.03144799999999992,-0.927172,-0.12246000000000001,-0.0034849999999999604,-0.924458,0.269385,0.03493299999999988,0.002713999999999994,0.9946041366437748,0.9445186613261906,0.9445186613261906,0.005395863356225217,0.055481338673809444,-0.924458
7,0.029167,walk,1.457065,1.66634,0.985007,0.0452,0.063209,-0.649265,-0.020398368130523346,-0.052075833933317474,0.11399088072954248,1.3225067005244642,0.14380451225700772,-0.12649368213679993,-0.001679865610719517,-0.0002399808015161349,-0.0002399808015361173,-0.04031677465801442,0.04775617950560075,0.03959683225341939,0.147003,0.031664000000000136,-0.9276479999999999,-0.12254300000000007,-0.0030689999999999884,-0.9247679999999999,0.26954600000000006,0.034733000000000125,0.0028799999999999937,0.9971436571360681,0.8478891447927264,0.8478891447927264,0.002856342863931882,0.15211085520727363,-0.9247679999999999
8,0.033333,walk,1.456964,1.66618,0.985205,0.046156,0.064003,-0.649346,-0.024243879020674194,-0.03840614498318239,0.0475276044167142,0.5964754036637203,-0.0019431051038124808,-0.10167050266413068,-0.004800768122931111,-0.000960153624607542,-0.001920307249160119,-0.012722035525703486,-0.0012001920307327777,-0.001680268843014896,0.147084,0.03181999999999996,-0.927854,-0.12249500000000002,-0.002914000000000083,-0.924973,0.269579,0.03473400000000004,0.0028809999999999114,0.9912350366857307,0.9497091330474003,0.9497091330474003,0.008764963314269347,0.050290866952599655,-0.924973
9,0.0375,walk,1.456894,1.666054,0.985572,0.04689,0.065277,-0.649432,-0.016798656107514888,-0.030237580993537457,0.08807295416366846,0.6659351192052418,0.2426593623068546,-0.0966046780493795,0.002879769618460051,0.0,-0.0016798656107511558,-0.0062395008398990846,-0.008879289656789715,-0.0141588672906176,0.14716600000000013,0.03194600000000003,-0.928228,-0.12245099999999987,-0.0028249999999998554,-0.925399,0.269617,0.034770999999999885,0.0028290000000000814,0.9944434669268234,0.9419775505319341,0.9419775505319341,0.005556533073176606,0.058022449468065895,-0.925399
10,0.041667,walk,1.456862,1.66596,0.985762,0.046626,0.065875,-0.649521,-0.0076793856491024545,-0.02255819534432838,0.04559635229182225,0.09031735497310926,0.3048323746352879,-0.045481794744988445,-0.0016798656107728006,-0.0019198464122889352,0.0026397888168956207,0.03143748500117137,-0.04799616030717009,-0.04775617950563897,0.14719099999999985,0.03203199999999984,-0.928407,-0.12228800000000017,-0.002931000000000017,-0.925788,0.269479,0.034962999999999855,0.002618999999999927,0.9938816660503853,0.8493935895469791,0.8493935895469791,0.006118333949614696,0.15060641045302092,-0.925788
