Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z,gait_type
23,0.095833,0.004594,0.037239,-0.986174,-0.16141,1.782172,-1.234688,0.004277,-0.022485,-0.036433,0.894777,0.444455,1.964763,-1.014024,0.010109,-0.053482,-0.001483,0.984659,0.166084,1.886831,-1.145559,0.926089,jog
24,0.1,0.004525,0.03749,-0.986168,-0.161392,1.782153,-1.23469,0.004298,-0.022381,-0.03638,0.894773,0.444475,1.964772,-1.014023,0.010113,-0.053574,-0.001783,0.98472,0.165693,1.886744,-1.14556,0.926042,jog
25,0.104167,0.004573,0.03741,-0.986178,-0.161347,1.782137,-1.234698,0.004296,-0.022398,-0.036384,0.89478,0.444458,1.964775,-1.01402,0.010108,-0.053706,-0.001681,0.984759,0.165416,1.88665,-1.145566,0.925988,jog
26,0.108333,0.004638,0.037126,-0.986171,-0.16145,1.782175,-1.234694,0.004278,-0.022345,-0.036316,0.894784,0.444458,1.964775,-1.014016,0.010102,-0.053774,-0.001663,0.984787,0.16523,1.886504,-1.145573,0.925934,jog
27,0.1125,0.004657,0.037205,-0.986178,-0.161393,1.782146,-1.234688,0.004291,-0.022366,-0.03634,0.89476,0.444504,1.964792,-1.014013,0.010107,-0.053743,-0.001468,0.984838,0.164937,1.886342,-1.145545,0.925915,jog
28,0.116667,0.004659,0.037296,-0.986179,-0.161362,1.782138,-1.234688,0.004293,-0.022275,-0.03627,0.894769,0.444496,1.964787,-1.014012,0.010095,-0.054003,-0.00152,0.98489,0.164542,1.88612,-1.14547,0.925897,jog
29,0.120833,0.004671,0.037457,-0.986171,-0.161377,1.782132,-1.234687,0.004291,-0.022267,-0.036257,0.89476,0.444515,1.964801,-1.014012,0.010091,-0.053975,-0.001507,0.984945,0.164219,1.885965,-1.145451,0.92583,jog
30,0.125,0.004747,0.037422,-0.986166,-0.161415,1.78213,-1.234684,0.004302,-0.022182,-0.036197,0.894761,0.444523,1.964801,-1.014008,0.010084,-0.053964,-0.001411,0.984998,0.163903,1.885787,-1.145415,0.925772,jog
31,0.129167,0.004795,0.037452,-0.98617,-0.161381,1.782106,-1.234678,0.004314,-0.0222,-0.036152,0.894732,0.444584,1.964818,-1.013999,0.010075,-0.054034,-0.001425,0.985059,0.163512,1.885575,-1.145351,0.925733,jog
32,0.133333,0.00484,0.03738,-0.986169,-0.161403,1.782101,-1.234671,0.004308,-0.022181,-0.036147,0.894729,0.444591,1.964831,-1.014005,0.010086,-0.052692,0.001654,0.985088,0.163773,1.884891,-1.145176,0.926087,jog
33,0.1375,0.004829,0.037351,-0.986164,-0.161439,1.782085,-1.234651,0.004323,-0.022071,-0.03607,0.894728,0.444604,1.964832,-1.013993,0.010081,-0.05241,0.001979,0.98516,0.163433,1.884681,-1.145116,0.926005,jog
34,0.141667,0.004872,0.037441,-0.986158,-0.16145,1.782075,-1.234643,0.004349,-0.022035,-0.035975,0.894722,0.444626,1.964841,-1.013977,0.010081,-0.053482,7.4e-05,0.985271,0.162423,1.884848,-1.145171,0.925592,jog
35,0.145833,0.004967,0.037447,-0.986165,-0.161406,1.782052,-1.234632,0.004349,-0.022045,-0.035967,0.894706,0.444659,1.964838,-1.013975,0.010077,-0.053461,-0.000372,0.985353,0.161933,1.884722,-1.145159,0.92546,jog
36,0.15,0.005078,0.037468,-0.986168,-0.161381,1.782035,-1.234616,0.004351,-0.022095,-0.036032,0.894715,0.444633,1.964843,-1.013971,0.010071,-0.053334,-0.0005,0.985429,0.16151,1.884517,-1.145167,0.925375,jog
37,0.154167,0.005142,0.037404,-0.986169,-0.161386,1.782026,-1.234599,0.004354,-0.022091,-0.036097,0.894678,0.444702,1.964861,-1.013965,0.010066,-0.053269,-0.000631,0.985494,0.161132,1.884309,-1.145155,0.925307,jog
38,0.158333,0.005225,0.037324,-0.986175,-0.161364,1.782016,-1.23459,0.004362,-0.022041,-0.03613,0.894661,0.444736,1.964852,-1.013967,0.010061,-0.053236,-0.000797,0.985553,0.16078,1.884117,-1.145165,0.925223,jog
39,0.1625,0.005296,0.037345,-0.986177,-0.161347,1.781999,-1.234583,0.00437,-0.022092,-0.036114,0.894654,0.444749,1.96485,-1.013959,0.010058,-0.053319,-0.001099,0.985611,0.160396,1.883927,-1.145172,0.925144,jog
40,0.166667,0.005357,0.03736,-0.986175,-0.161351,1.781981,-1.234572,0.004381,-0.022051,-0.036126,0.894628,0.444802,1.964849,-1.013941,0.01005,-0.052415,0.0022,0.985613,0.160667,1.883144,-1.144962,0.925567,jog
41,0.170833,0.005562,0.037009,-0.98618,-0.161395,1.781989,-1.23456,0.004374,-0.022121,-0.036184,0.894631,0.444788,1.96487,-1.013933,0.010044,-0.052425,0.002254,0.985673,0.160295,1.882952,-1.144967,0.925483,jog
42,0.175,0.00565,0.037013,-0.986198,-0.161279,1.781946,-1.234544,0.004394,-0.022124,-0.036172,0.894604,0.444844,1.964874,-1.013932,0.010042,-0.052282,0.002478,0.985731,0.159986,1.882759,-1.144973,0.925392,jog
43,0.179167,0.005786,0.036961,-0.986204,-0.161255,1.781923,-1.234531,0.004408,-0.022165,-0.036201,0.894587,0.444874,1.96488,-1.013932,0.010037,-0.052221,0.00266,0.98579,0.15964,1.882576,-1.14498,0.92531,jog
44,0.183333,0.005906,0.036706,-0.986219,-0.161216,1.781906,-1.234519,0.004422,-0.022094,-0.036192,0.894559,0.444934,1.964881,-1.013923,0.010033,-0.052242,0.003073,0.98583,0.159375,1.882265,-1.144956,0.92532,jog
45,0.1875,0.006018,0.036718,-0.986217,-0.16122,1.781891,-1.234508,0.004435,-0.022198,-0.036273,0.894537,0.444967,1.964889,-1.013922,0.010023,-0.052369,0.003514,0.985853,0.159184,1.882038,-1.144971,0.925254,jog
46,0.191667,0.006133,0.036615,-0.986219,-0.161226,1.781883,-1.234503,0.004449,-0.022086,-0.036204,0.89454,0.444971,1.964878,-1.013916,0.010021,-0.052355,0.003526,0.985903,0.158876,1.88181,-1.144999,0.925205,jog
47,0.195833,0.006261,0.036422,-0.986233,-0.161178,1.781872,-1.234493,0.004462,-0.022203,-0.036183,0.894523,0.445002,1.964878,-1.013906,0.010012,-0.052568,0.003749,0.985931,0.158629,1.881592,-1.145029,0.925144,jog
48,0.2,0.006315,0.036372,-0.986236,-0.161167,1.781856,-1.23448,0.004475,-0.022163,-0.036151,0.894538,0.444976,1.964865,-1.01391,0.010009,-0.052614,0.004036,0.985949,0.158492,1.881377,-1.145065,0.925105,jog
