Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z,gait_type
23,0.095833,-0.01102,-0.021637,0.862152,0.506068,-0.955643,1.053389,0.03829,-0.02032,-0.038241,0.818303,0.573153,-0.702038,1.203026,0.045634,0.016059,0.027491,-0.880314,-0.473322,-0.874075,1.120011,0.958945,walk
24,0.1,-0.010996,-0.021698,0.86215,0.506069,-0.955637,1.053392,0.038292,-0.020269,-0.038039,0.818435,0.57298,-0.702066,1.203027,0.045611,0.016154,0.027516,-0.880271,-0.473398,-0.87406,1.119929,0.95896,walk
25,0.104167,-0.010879,-0.021625,0.862182,0.50602,-0.955641,1.053385,0.03828,-0.020281,-0.038241,0.818324,0.573126,-0.702022,1.203032,0.045638,0.016267,0.027572,-0.880222,-0.473482,-0.874049,1.119851,0.958973,walk
26,0.108333,-0.010871,-0.021739,0.862199,0.505987,-0.955633,1.053372,0.038287,-0.020235,-0.038003,0.818425,0.572997,-0.702042,1.203036,0.045606,0.016348,0.02764,-0.880195,-0.473525,-0.874033,1.119782,0.958977,walk
27,0.1125,-0.010883,-0.021766,0.862194,0.505993,-0.95563,1.053375,0.038283,-0.020158,-0.037862,0.818411,0.57303,-0.702028,1.203023,0.045599,0.016456,0.027639,-0.880141,-0.473622,-0.874017,1.119698,0.958994,walk
28,0.116667,-0.010839,-0.021789,0.862196,0.505989,-0.955626,1.053374,0.038277,-0.020073,-0.037721,0.818361,0.573113,-0.701999,1.203016,0.045585,0.016584,0.027601,-0.880099,-0.473697,-0.874006,1.119618,0.959015,walk
29,0.120833,-0.010765,-0.0218,0.862243,0.50591,-0.955625,1.053367,0.038271,-0.019996,-0.037574,0.818339,0.573158,-0.701987,1.203011,0.045574,0.01668,0.027667,-0.88006,-0.473762,-0.873986,1.11955,0.959018,walk
30,0.125,-0.010774,-0.022005,0.862243,0.505902,-0.955616,1.053365,0.038275,-0.019966,-0.037517,0.81832,0.57319,-0.701964,1.203007,0.04558,0.016779,0.027678,-0.880001,-0.473869,-0.873969,1.119465,0.959033,walk
31,0.129167,-0.010766,-0.022154,0.862231,0.505916,-0.95561,1.053359,0.038285,-0.019859,-0.037411,0.818352,0.573155,-0.701958,1.203011,0.045578,0.01689,0.027715,-0.879947,-0.473962,-0.873947,1.119389,0.959047,walk
32,0.133333,-0.010697,-0.021975,0.862253,0.505888,-0.955617,1.053354,0.038273,-0.019792,-0.037386,0.818375,0.573125,-0.70195,1.203013,0.045585,0.016993,0.027791,-0.879899,-0.474042,-0.873923,1.119323,0.959047,walk
